"Event","Unit","Time","Track","Channel","NoteName","NoteNumber","NoteUnits","NoteDuration","NoteOnVelocity","NoteOffVelocity","ControllerNr","ControllerValue","TextType","Text","Program","TempoBPM","TempoMicroseconds","Pitchbend","Aftertouch","MeterNom","MeterDenom","MeterUnits","MeterNote32","Resolution","MIDIVersion","Sysex","MetaType","MetaData","Key","PolyKey","PolyValue","RealtimeEvent","RealtimeValue",
"NoteOn",911,2148,4,1,"a#3",46,254,599,94,
"Controller",927,2186,4,1,,,,,,,64,0
"NoteOn",944,2226,4,1,"g#5",68,56,132,86,
"NoteOn",950,2240,4,1,"c#5",61,697,1644,101,
"NoteOn",956,2254,2,2,"a#2",34,394,929,74,
"NoteOn",962,2268,4,1,"c#6",73,83,196,111,
"NoteOff",965,2275,3,10,"b2",35,,,,0
"NoteOn",965,2275,3,10,"b2",35,80,189,13,
"NoteOn",965,2275,3,10,"f#3",42,80,189,70,
"NoteOff",970,2287,3,10,"d#4",51,,,,0
"NoteOn",970,2287,3,10,"d#4",51,80,189,70,
"NoteOn",973,2294,4,1,"g#6",80,77,182,119,
"NoteOff",1000,2358,4,1,"g#5",68,,,,0
"NoteOff",1045,2464,3,10,"b2",35,,,,0
"NoteOff",1045,2464,3,10,"f#3",42,,,,0
"NoteOff",1045,2464,4,1,"c#6",73,,,,0
"NoteOff",1050,2476,3,10,"d#4",51,,,,0
"NoteOff",1050,2476,4,1,"g#6",80,,,,0
"NoteOn",1131,2667,4,1,"c6",72,61,144,102,
"NoteOn",1132,2669,3,10,"d3",38,73,172,40,
"NoteOff",1165,2747,4,1,"a#3",46,,,,0
"NoteOff",1192,2811,4,1,"c6",72,,,,0
"NoteOn",1202,2834,4,1,"c#6",73,50,118,111,
"NoteOff",1205,2841,3,10,"d3",38,,,,0
"NoteOn",1205,2841,3,10,"f#3",42,80,189,80,
"NoteOn",1210,2853,3,10,"d#4",51,80,189,70,
"Controller",1230,2900,4,1,,,,,,,64,127
"NoteOff",1252,2952,4,1,"c#6",73,,,,0
"NoteOff",1285,3030,3,10,"f#3",42,,,,0
"NoteOn",1288,3037,4,1,"f6",77,46,109,54,
"NoteOff",1290,3042,3,10,"d#4",51,,,,0
"NoteOff",1334,3146,4,1,"f6",77,,,,0
"NoteOff",1350,3183,2,2,"a#2",34,,,,0
"NoteOn",1354,3193,4,1,"g#6",80,29,68,107,
"NoteOn",1372,3235,3,10,"b2",35,73,173,13,
"NoteOn",1376,3245,2,2,"d#3",39,56,132,68,
"NoteOn",1377,3247,3,10,"d#4",51,73,172,70,
"NoteOff",1383,3261,4,1,"g#6",80,,,,0
"Controller",1403,3308,4,1,,,,,,,64,0
"NoteOff",1432,3377,2,2,"d#3",39,,,,0
"NoteOn",1444,3405,4,1,"c#7",85,23,54,81,
"NoteOff",1445,3408,3,10,"b2",35,,,,0
"NoteOn",1445,3408,3,10,"f#3",42,80,188,70,
"NoteOff",1450,3419,3,10,"d#4",51,,,,0
"NoteOn",1450,3419,3,10,"d#4",51,80,189,70,
"NoteOn",1453,3426,4,1,"d7",86,17,40,103,
"NoteOff",1467,3459,4,1,"c#7",85,,,,0
"NoteOn",1467,3459,4,1,"d#7",87,157,371,108,
"NoteOff",1470,3466,4,1,"d7",86,,,,0
"NoteOff",1525,3596,3,10,"f#3",42,,,,0
"NoteOff",1530,3608,3,10,"d#4",51,,,,0
"NoteOn",1600,3773,4,1,"d#4",51,33,78,118,
"Controller",1617,3813,4,1,,,,,,,64,127
"NoteOn",1619,3818,2,2,"d#3",39,306,722,79,
"NoteOff",1624,3830,4,1,"d#7",87,,,,0
"NoteOff",1633,3851,4,1,"d#4",51,,,,0
"NoteOff",1647,3884,4,1,"c#5",61,,,,0
"NoteOn",1685,3974,3,10,"f#3",42,80,188,80,
"NoteOn",1687,3978,3,10,"c#3",37,47,111,80,
"NoteOn",1690,3985,3,10,"d#4",51,80,189,70,
"NoteOff",1734,4089,3,10,"c#3",37,,,,0
"NoteOff",1765,4162,3,10,"f#3",42,,,,0
"NoteOff",1770,4174,3,10,"d#4",51,,,,0
"NoteOn",1862,4391,3,10,"d#4",51,73,172,70,
"Controller",1907,4497,4,1,,,,,,,64,0
"NoteOn",1921,4530,2,2,"g#2",32,361,852,78,
"NoteOff",1925,4540,2,2,"d#3",39,,,,0
"NoteOn",1925,4540,3,10,"c#4",49,27,63,44,
"NoteOn",1925,4540,3,10,"b2",35,80,188,13,
"NoteOn",1925,4540,3,10,"f#3",42,80,188,70,
"NoteOn",1925,4540,4,1,"d#6",75,33,77,127,
"NoteOn",1926,4542,4,1,"d#7",87,43,101,127,
"NoteOn",1929,4549,4,1,"f5",65,36,85,99,
"NoteOn",1930,4551,3,10,"d#4",51,80,189,70,
"NoteOn",1931,4554,4,1,"g#6",80,28,66,113,
"NoteOn",1932,4556,4,1,"c5",60,32,76,92,
"NoteOff",1935,4563,3,10,"d#4",51,,,,0
"NoteOn",1935,4563,4,1,"g4",55,23,54,83,
"NoteOn",1936,4566,4,1,"a#4",58,27,63,109,
"NoteOff",1952,4603,3,10,"c#4",49,,,,0
"NoteOff",1958,4617,4,1,"d#6",75,,,,0
"NoteOff",1958,4617,4,1,"g4",55,,,,0
"NoteOff",1959,4620,4,1,"g#6",80,,,,0
"NoteOff",1963,4629,4,1,"a#4",58,,,,0
"NoteOff",1964,4632,4,1,"c5",60,,,,0
"NoteOff",1965,4634,4,1,"f5",65,,,,0
"NoteOff",1969,4643,4,1,"d#7",87,,,,0
"NoteOff",2005,4728,3,10,"b2",35,,,,0
"NoteOff",2005,4728,3,10,"f#3",42,,,,0
"NoteOff",2010,4740,3,10,"d#4",51,,,,0
"NoteOn",2165,5106,3,10,"f#3",42,80,188,80,
"NoteOn",2170,5117,3,10,"d#4",51,80,189,70,
"NoteOn",2175,5129,4,1,"f5",65,44,104,64,
"NoteOn",2178,5136,4,1,"c5",60,39,92,58,
